province,year,agricultural_income,industry_income,services_income,income,food_outcome,not_food_outcome,outcome
Aceh,2019,1398758,1511663,1915674,1608698,559300,434134,993433
Sumatera Utara,2019,1277779,1714302,1996429,1662837,576323,487641,1063964
Sumatera Barat,2019,1272181,1699042,2094410,1688544,609258,555621,1164879
Riau,2019,1687876,1908746,2322829,1973150,621748,611498,1233245
Jambi,2019,1570429,1913764,2266066,1916753,560542,508445,1068987
Sumatera Selatan,2019,1339048,1793972,1951874,1694965,498929,459890,958819
Bengkulu,2019,1241139,1767933,1939979,1649684,542423,553927,1096350
Lampung,2019,1184321,1532273,1782972,1499855,484800,444224,929024
Kepulauan Bangka Belitung,2019,1703344,2203480,2328732,2078519,751641,758333,1509974
Kepulauan Riau,2019,1762014,2635895,3017432,2471780,789057,989093,1778150
DKI Jakarta,2019,1734930,2890030,3578085,2734348,877449,1278664,2156112
Jawa Barat,2019,1122145,1849595,2120847,1697529,629741,637136,1266877
Jawa Tengah,2019,1087288,1568641,1750139,1468689,469421,486982,956403
DI Yogyakarta,2019,880523,1322022,1867409,1356651,546445,793281,1339726
Jawa Timur,2019,1228666,1764812,1897685,1630388,502892,533285,1036177
Banten,2019,1228564,2367689,2698201,2098151,702322,724060,1426382
Bali,2019,1358881,1747480,2878576,1994979,609181,777972,1387154
Nusa Tenggara Barat,2019,963132,1302293,1801383,1355603,539864,489587,1029451
Nusa Tenggara Timur,2019,905218,1039818,1529013,1158016,429498,321195,750693
Kalimantan Barat,2019,1177041,1980342,2231493,1796292,561142,519227,1080370
Kalimantan Tengah,2019,1600921,2312405,2511927,2141751,650759,636442,1287201
Kalimantan Selatan,2019,1378011,1921873,2155570,1818485,628902,621460,1250362
Kalimantan Timur,2019,2175465,2725328,3019262,2640018,724423,893217,1617640
Kalimantan Utara,2019,2006032,2439667,2967791,2471163,717752,738195,1455947
Sulawesi Utara,2019,1897640,2240810,2596071,2244840,568055,582728,1150783
Sulawesi Tengah,2019,1372533,1577840,2085497,1678623,505608,478032,983641
Sulawesi Selatan,2019,1659937,1803898,2169985,1877940,487934,534484,1022418
Sulawesi Tenggara,2019,1473322,1562939,1945913,1660725,475215,546075,1021290
Gorontalo,2019,1354352,1662225,1631915,1549497,452958,549906,1002864
Sulawesi Barat,2019,1235337,1114311,1469901,1273183,445427,395586,841013
Maluku,2019,1372238,1550872,2011688,1644933,507218,495021,1002239
Maluku Utara,2019,1437369,2008138,2215888,1887132,514251,511839,1026090
Papua Barat,2019,2029332,2504911,2827582,2453942,667673,700837,1368510
Papua,2019,3443956,4623106,3908378,3991813,665292,549427,1214718
Aceh,2020,1322365,1561824,1746131,1543440,595635,484536,1080171
Sumatera Utara,2020,1327922,1658196,1627491,1537870,598245,526008,1124253
Sumatera Barat,2020,1214434,1621557,1733735,1523242,644853,590197,1235050
Riau,2020,1636364,1748294,2085711,1823456,668074,672373,1340446
Jambi,2020,1385628,1899673,1873326,1719542,590173,536516,1126690
Sumatera Selatan,2020,1190178,1602931,1484862,1425990,535136,486894,1022030
Bengkulu,2020,1135520,1621360,1719955,1492278,573500,566575,1140075
Lampung,2020,1113436,1568210,1572745,1418130,503976,470448,974424
Kepulauan Bangka Belitung,2020,1533651,1798205,1840601,1724152,771121,730723,1501844
Kepulauan Riau,2020,1687467,2329555,2681173,2232732,800424,973097,1773521
DKI Jakarta,2020,2541989,2956548,2761066,2753201,944687,1313304,2257991
Jawa Barat,2020,1116807,1807997,1833545,1586116,655838,669122,1324960
Jawa Tengah,2020,978390,1563572,1440274,1327412,496173,522314,1018487
DI Yogyakarta,2020,884017,1419481,1348923,1217474,579279,832693,1411972
Jawa Timur,2020,1081298,1653613,1612204,1449038,521577,542805,1064382
Banten,2020,1110947,2559839,2244153,1971646,756673,760371,1517044
Bali,2020,1205397,1468081,1771480,1481653,675146,834520,1509666
Nusa Tenggara Barat,2020,958683,1294610,1385587,1212960,574202,515561,1089764
Nusa Tenggara Timur,2020,825583,994660,1183578,1001274,442700,351661,794361
Kalimantan Barat,2020,1170757,1797228,2091944,1686643,584259,540804,1125063
Kalimantan Tengah,2020,1443717,2043786,2253748,1913750,675948,657370,1333318
Kalimantan Selatan,2020,1157180,1647614,1727563,1510786,675979,659478,1335457
Kalimantan Timur,2020,1850283,2442927,2299349,2197520,790469,963725,1754195
Kalimantan Utara,2020,1761895,2162333,2248219,2057482,743894,801796,1545689
Sulawesi Utara,2020,1577521,2142909,1949799,1890076,590062,621777,1211839
Sulawesi Tengah,2020,1195327,1574922,1657191,1475813,516839,518938,1035777
Sulawesi Selatan,2020,1611858,1564121,1787669,1654549,516183,541681,1057864
Sulawesi Tenggara,2020,1394566,1478311,1619934,1497604,506740,531060,1037799
Gorontalo,2020,1275361,1369378,1486607,1377115,476069,592213,1068282
Sulawesi Barat,2020,1150080,1057244,1394690,1200671,457059,436701,893761
Maluku,2020,1110390,1423561,1800179,1444710,532135,551786,1083921
Maluku Utara,2020,1190673,2114131,1964569,1756458,537605,555218,1092824
Papua Barat,2020,1564329,2132148,2947946,2214808,687944,707070,1395014
Papua,2020,1589075,2804740,3001473,2465096,723821,585893,1309714
Aceh,2021,1277884,1519146,1569441,1455490,643591,494228,1137819
Sumatera Utara,2021,1264941,1692500,1543186,1500209,607812,534905,1142717
Sumatera Barat,2021,1189797,1651308,1592713,1477939,668029,613629,1281658
Riau,2021,1700452,1728870,1771129,1733484,672143,670528,1342670
Jambi,2021,1496677,2069493,1792558,1786243,613753,566507,1180260
Sumatera Selatan,2021,1330816,1557000,1385038,1424285,579032,517376,1096407
Bengkulu,2021,1163967,1615619,1525738,1435108,580273,558299,1138572
Lampung,2021,1129601,1577118,1410061,1372260,539964,490615,1030579
Kepulauan Bangka Belitung,2021,1619622,2352874,1834247,1935581,783204,748970,1532174
Kepulauan Riau,2021,1534900,2209289,2210663,1984951,828206,1027089,1855296
DKI Jakarta,2021,1653883,2545112,2407011,2202002,923933,1412497,2336429
Jawa Barat,2021,1074632,1664435,1632212,1457093,677383,695276,1372659
Jawa Tengah,2021,928155,1511322,1312900,1250792,519009,529600,1048609
DI Yogyakarta,2021,797820,1274914,1333380,1135371,594622,823248,1417870
Jawa Timur,2021,1024312,1543038,1446154,1337835,557791,555211,1113002
Banten,2021,1167806,2158701,2121217,1815908,744893,766363,1511257
Bali,2021,954452,1291722,1546639,1264271,628472,840152,1468624
Nusa Tenggara Barat,2021,894074,1125267,1177647,1065663,637898,559650,1197548
Nusa Tenggara Timur,2021,720194,856855,1042142,873064,468252,372106,840359
Kalimantan Barat,2021,1195561,1729434,1789475,1571490,603291,559767,1163058
Kalimantan Tengah,2021,1542861,2193428,2000816,1912368,713145,682681,1395826
Kalimantan Selatan,2021,1182744,1628121,1565482,1458782,701228,682572,1383800
Kalimantan Timur,2021,1925227,2317952,1913663,2052281,736465,982146,1718611
Kalimantan Utara,2021,1667405,1946694,2014681,1876260,742834,811876,1554710
Sulawesi Utara,2021,1477469,1959390,1806649,1747836,612972,598708,1211680
Sulawesi Tengah,2021,1056894,1398222,1603981,1353032,512309,539396,1051706
Sulawesi Selatan,2021,1380322,1557580,1625207,1521036,533482,570615,1104097
Sulawesi Tenggara,2021,1157842,1357508,1407234,1307528,509723,560770,1070493
Gorontalo,2021,1281465,1450955,1250740,1327720,529729,616061,1145790
Sulawesi Barat,2021,1187163,1132355,1156912,1158810,453031,439349,892380
Maluku,2021,1060884,1304772,1437140,1267599,536327,576419,1112746
Maluku Utara,2021,1131124,1820943,1809918,1587328,556903,572438,1129341
Papua Barat,2021,1517823,2099407,2499509,2038913,698303,749178,1447481
Papua,2021,1638588,3512758,2899468,2683605,792781,575598,1368379
Aceh,2022,1563556,1667160,1819017,1683244,668481,511652,1180133
Sumatera Utara,2022,1595084,1944328,1909993,1816468,663927,552570,1216497
Sumatera Barat,2022,1393445,1817445,1883674,1698188,716262,626724,1342986
Riau,2022,2055351,2100567,2145541,2100486,730826,694345,1425171
Jambi,2022,1953891,2302870,2314989,2190583,663021,598816,1261837
Sumatera Selatan,2022,1699250,2103637,2013118,1938668,620732,528080,1148812
Bengkulu,2022,1506633,1889282,1769191,1721702,626209,570275,1196484
Lampung,2022,1367176,1842942,1836913,1682344,575673,499315,1074987
Kepulauan Bangka Belitung,2022,2088453,2492893,2468293,2349880,881622,772658,1654281
Kepulauan Riau,2022,1975011,2446822,2453473,2291769,846222,985479,1831700
DKI Jakarta,2022,3181044,4443860,4189801,3938235,953321,1572026,2525347
Jawa Barat,2022,1277460,2129398,2130374,1845744,708390,729004,1437394
Jawa Tengah,2022,1112720,1681755,1607794,1467423,572808,548986,1121794
DI Yogyakarta,2022,771295,1434097,1765708,1323700,628845,851530,1480374
Jawa Timur,2022,1252165,1755770,1940338,1649424,600848,564290,1165138
Banten,2022,1307389,2374788,2559014,2080397,830111,789461,1619572
Bali,2022,1527843,1785503,2364734,1892693,609855,832754,1442610
Nusa Tenggara Barat,2022,952555,1446486,1465460,1288167,666966,493696,1160662
Nusa Tenggara Timur,2022,965946,926142,1231791,1041293,480749,403353,884102
Kalimantan Barat,2022,1433153,2142711,2284225,1953363,666066,566552,1232618
Kalimantan Tengah,2022,1955977,2749316,2621582,2442292,762634,679661,1442295
Kalimantan Selatan,2022,1514713,1861688,2025841,1800747,727961,679758,1407719
Kalimantan Timur,2022,2374413,2629065,2770110,2591196,813448,984038,1797486
Kalimantan Utara,2022,1787272,2141840,2499166,2142759,758431,811755,1570186
Sulawesi Utara,2022,1793626,2587833,2141333,2174264,674114,562591,1236706
Sulawesi Tengah,2022,1405839,1637528,1921929,1655099,561739,521940,1083679
Sulawesi Selatan,2022,1704926,1896532,2224077,1941845,566224,576388,1142612
Sulawesi Tenggara,2022,1562832,1594244,2185582,1780886,535048,576547,1111595
Gorontalo,2022,1615470,1774756,1506680,1632302,534461,608535,1142997
Sulawesi Barat,2022,1129456,1367983,1338947,1278795,491876,464029,955905
Maluku,2022,1075547,1794110,1701413,1523690,589485,580343,1169828
Maluku Utara,2022,1542396,1813652,2087746,1814598,585162,543424,1128586
Papua Barat,2022,1485041,2969712,2450532,2301762,723855,724651,1448505
Papua,2022,1694726,3062414,3104851,2620664,858106,596214,1454321
Aceh,2023,1482900,1990800,1486800,1653500,702547,523429,1225976
Sumatera Utara,2023,1684700,2097500,1732500,1838233,707588,597752,1305339
Sumatera Barat,2023,1547900,2145600,1585500,1759667,747469,664354,1411823
Riau ,2023,2013900,2553800,1642700,2070133,776145,751405,1527549
Jambi,2023,1660600,2427200,2151200,2079667,720949,703176,1424125
Sumatera Selatan,2023,1193400,2197100,1712000,1700833,647779,562206,1209986
Bengkulu,2023,1426300,2083200,1550100,1686533,679166,653392,1332558
Lampung,2023,1327900,1972700,1364600,1555067,627879,575138,1203017
Kepulauan Bangka Belitung,2023,2081200,2546300,1272800,1966767,879797,847753,1727550
Kepulauan Riau,2023,1698100,2815300,1886300,2133233,863530,1126172,1989703
DKI Jakarta,2023,2099800,2878500,2041700,2340000,1055896,1735820,2791716
Jawa Barat,2023,1196100,2260700,1530300,1662367,761832,805834,1567666
Jawa Tengah,2023,1120200,2086000,1370700,1525633,601528,608378,1209906
DI Yogyakarta,2023,1058700,1836300,1151500,1348833,722132,1009428,1731560
Jawa Timur,2023,1133000,2018300,1254500,1468600,657408,666078,1323486
Banten,2023,1281500,2482900,1672500,1812300,847452,896235,1743687
Bali,2023,1745600,2166500,1712100,1874733,729755,1011768,1741523
Nusa Tenggara Barat,2023,802500,1568100,1277600,1216067,711180,549640,1260820
Nusa Tenggara Timur,2023,681200,1384800,1195200,1087067,516672,444700,961372
Kalimantan Barat,2023,1402300,2453700,1490400,1782133,695043,650509,1345552
Kalimantan Tengah,2023,2052600,2928600,1681300,2220833,787550,738235,1525785
Kalimantan Selatan,2023,1411200,2276000,1417500,1701567,747955,709390,1457344
Kalimantan Timur,2023,2200800,2582100,2030900,2271267,885069,1095206,1980275
Kalimantan Utara,2023,1599100,2135200,1634400,1789567,801219,892358,1693577
Sulawesi Utara,2023,1758300,2424500,1524200,1902333,670957,644219,1315176
Sulawesi Tengah,2023,1177800,1871000,1330000,1459600,602468,571212,1173679
Sulawesi Selatan,2023,1011300,2166500,1393400,1523733,597180,655371,1252551
Sulawesi Tenggara,2023,1329600,1909400,1511900,1583633,561452,611288,1172739
Gorontalo,2023,1054800,1791400,1291700,1379300,590966,637927,1228893
Sulawesi Barat,2023,1468700,1781400,1166100,1472067,530104,506416,1036520
Maluku,2023,1292000,1962900,1301300,1518733,595310,642860,1238170
Maluku Utara,2023,1404000,2000800,1216800,1540533,660687,656472,1317159
Papua Barat,2023,2130700,3791200,2321000,2747633,773831,824423,1598254
Papua,2023,2114400,3609200,2387900,2703833,866059,643934,1509992
